,asin,title,description,also_buy,also_view,brand,Category1,Category2,Category3,Category4,avg_rating
10,B006X6EPII,Seidio Case ad Holster for Samsung Galaxy S II,['Protect your phone against damage with this Platinum Series STC21SB case that features a snap-together design for easy attachment and removal. The holster has a belt clip that swivels in up to 7 directions for simple access to your phone.'],,,PT,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.738125
11,B00718Z20W,Reiko PH01B-XXLBK Extra Large Rugged Pouch for Cell Phones&nbsp; - 1 Pack - Retail Packaging - Black,"['Manufactured with the highest quality leather and a great variety of styles and colors. Elegant case conceived in top quality leather. Exact size for your mobile phone, give good protection to your mobile phone. Inside of case is made of high quality material that will not scratch your phone. Slim and padded design. Protects the device in an optimal manner. Provides excellent protection from the elements. Durable stitching and a sturdy belt clip Fine workmanship. Wear your phone sideway on your belt and always have it at your reach!']","B00FQJ6ITM,B01D0D4202,B00FYVLP40","B00NKA4NQY,B00FQJ6ITM,B00KWGIMA2,B01I5GSK1G,B06XTWZHB1,B00NF1YW4G,B000QDPUBK,B01CQBSRN2,B01FV51NKO,B075VBDGD8,B015TDZETY",Reiko,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.786525
12,B007WUMQEO,Replacement Digitizer and Touch Screen LCD Assembly for White Apple iPhone 4S (for AT&amp;T/Verizon/Sprint iPhone 4S) + 7 Piece Tools Included,['Replacement Digitizer and Touch Screen LCD Assembly for White Apple iPhone 4S (for AT&amp;T/Verizon/Sprint iPhone 4S) + 7 Piece Tools Included'],"B01BJWXEUA,B01LZ79NN1,B00MURVILQ,B07BMQRVR1,B00NCX8V7G,B00XSY48Z8,B06XRHP4F5,B00WPD2S96,B01DXUFADK,B00JETJXHY,B00MVFAZ2A,B078N45T5J,B01IN68YXW,B00MURVLQ8,B008YGQM04,B06XFDSVHX,B00MURVFVY,B01GK0XYG0,B00TVTMO96,B01L8U12PW,B01IN54IY2,B00WAZB53E,B012MAUE10,B01EYG1Y00,B00N3P7W46,B01L8U11FI,B06XDLPLMY,B0761S2X8R,B00JK9HXLQ,B01CG8JAIQ,B00XT03HK8,B01LZ79WKV,B00E5NHYP2,B01F6AOLSK,B06XCHZ58M,B00NVDYB2G,B00N4GVT48,B00Y0D99BY,B01ETCBZXA,B0068PRBGM,B06W9HKP5V,B00KKHRKRO,B06WLNHLWP,B00E5NFVS4,B06XF4BLK9,B01BY92NHS,B0714J3HXY,B00XNA80Z6,B07H92DCY3,B01CMFTOTS,B07542MRL2,B01N7O4HZF,B01EFG8AHO,B06XCRZP2C,B071PFCTGQ,B06VW165RT,B01N4H842X,B01LYBG861,B0756X6G43,B073QMLLRG,B01EFG8AHE,B00LNR1SH8,B01CMFTPQA,B01CMFTS2Q,B01GP91SQ4,B075RZ89RQ,B00M53PZRI,B012V0CYLE,B074348W8F,B01JYZA45C,B06XD8NK43,B01KZE99Q6,B00H52HFCC,B078W4NB7Q,B01JYZA2ZO,B0796BFFQY,B01CMFTQRI,B073QMH1Y8,B015ZIPUL0",B00LNR1SH8,Generic,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8116749999999999
13,B007Y6YRIO,Replacement Digitizer and Touch Screen LCD Assembly for Black Apple iPhone 4,['Replacement Digitizer and Touch Screen LCD Assembly for Black Apple iPhone 4'],"B01LYHR901,B01MRHXAFS,B0042I3UJE,B00JETJXHY,B00N3P7W46,B00MVFAZ2A,B00JK9HXLQ,B00XSY48Z8,B00MURVFVY,B008YGQM04,B01L8U12PW,B00MURVLQ8,B00J22DQKS,B00XJ56AC0,B00MURVILQ,B00XT03HK8,B01IN54IY2,B00S9NF1HW,B012MAUE10,B0160MDINW,B06XFH14LL,B01L8U11FI,B00TVTMO96,B01C08YIQQ,B01BJWXEUA,B00E5NFVS4,B017BIXJD8,B07CDDMMX9,B01KZGJQ62,B01EFG8AHO,B01EFG8AHE,B01JYZA2ZO,B01HPXAB4O,B07H92DCY3,B00XN9Z6QI,B01CMFTOTS,B01DK1Q6EE,B00MQOBJHQ,B01GP91SQ4,B011QS7A5W","B07DXC66B1,B00LNR1SG4,B07HBZ64GY,B00J22DQKS,B01C08YIQQ,B00K5AKANW",Fosmon Technology,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8238
14,B008131QPQ,Generic For ipod touch 4th Gen LCD Display + Touch Glass Digitizer Assembly,"['', 'Description:<br> <br> Brand New and 100% Tested in good condition before shipping <br> Easy to install with our full free tools <br> High Quality Replacement Touch Digitizer &amp;LCD Display for ipod touch 4G<br> Professional Seller &amp; 3 year Warranty<br> No instructions are included, the repair should be made by an experienced technition<br> Color : White<br> <br> Single Package Include :<br> <br> 1 x High Quality Replacement Touch Digitizer &amp;LCD Display for ipod touch 4G <br> 3 x Screwdriver<br> 1 x Plastic Prying Tools<br> 1 x Suction Cup<br> 1 x Pick']",,,Generic,Cell Phones & Accessories,Accessories,Replacement Parts,,0.706675
15,B0085JRQP0,OtterBox Defender Series Case for Samsung Galaxy S III - Glow Green/Lake Blue (Discontinued by Manufacturer),"['<html>  <head>   <title>HTML Generator Sample Page</title>  </head>  <body>', '&nbsp;']","B00S2SIWGG,B009RYX94E,B01DW24LAC,B00A44JSFK,B00DD6LCQY,B00C45XSN0,B0089VO7OM,B00KNJJPSG,B01EHFP1HK,B0088LYCZC,B017H379BK,B00L5CFLT2,B00KJGY9GQ,B0085JRQIM,B0769D524Y,B009LY0LJQ,B00GOHIZSW,B00DYX5DYI","B009RYX94E,B0085JRQIM,B00B9OTEVM,B0085JRQOQ,B0085JRQQE,B013REXT0S,B0134733IQ,B01J20VYYY,B013REXQOC,B0085JRQZU,B00B9OTF8O,B013473PQQ,B013473IDG,B017RLT1WC,B07HQ39F9Q,B01B757O4Q,B01B757M5M,B0134744L6,B013473EVC,B00DYX5DYI,B0089YS4CK,B013X3TLYQ,B017H379IS,B01N4DV405,B015HU0CO6,B0085JRQFU,B0744DCP9G,B013473LJC,B017H379BK,B01B757PJA,B01347496G,B00LWY6KRU,B01347410A,B008D4XBII,B07HPZWL1Q,B01B757NRO,B07J9LTH8B,B00DD6LCQY,B014T7WJ4Y,B06XS36282,B017RLSZ2O,B013X3T50Q,B073ZN3PTZ,B008DKC2UU,B00KJGY9GQ,B00AAKGF72,B07G7JF5DW,B0756Q1N99,B00RNHE25W,B06XD2QX88,B009LY0LJQ,B00EO4ULG6",OtterBox,Cell Phones & Accessories,"Cases, Holsters & Sleeves",Holsters,,0.8163
16,B0088O0L18,Apple iPhone 4 CDMA Charger Dock Connector Port Flex Cable Replacement,"['Product Features: High quality Replacement iphone 4 CDMA Black Charger Port Dock Connector Flex Cable. ( instructions not included ) All iphone 4 CDMA Black Charger Port Dock Connector Flex Cables are tested before shipped Package included 1 x iphone 4 CDMA Black Charger Port Dock Connector Flex Cable Condition Brand New Compatible iphone 4 CDMA Sprint, Verizon only']","B01MRHXAFS,B01LYHR901,B01CMFTOTS","B00WAZB52K,B007MHZ2HK,B00NCX8V7G,B07DY95VRW,B00NH12EHQ,B0761S2X8R,B00WAZB58Y,B00WAZB5CU,B07BMQRVR1,B004JH3Q6A,B00QFNQLBS,B00M53PZRI,B00R5CDOTU,B01BJWXEUA,B007BYDA1O,B00MMHIARE,B07BFTF9TY,B00KG7AHTQ,B00PCOUO78,B0743731MS",Apple,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8116749999999999
17,B008GYN8R4,Everydaysource 1x 2000mAh Li-Ion Battery plus Dock Cradle Charger For Tmobile Samsung Galaxy S2 T989,[],,,Everydaysource,Cell Phones & Accessories,Accessories,Batteries & Battery Packs,Replacement Batteries,0.8449249999999999
18,B008I7C8MU,Leegoal Vintage American Flag Hard Case for Samsung Galaxy S3/III I9300,['Vintage American Flag Hard Case for Samsung Galaxy S3/III I9300'],,,Generic,Cell Phones & Accessories,"Cases, Holsters & Sleeves",Basic Cases,,0.80855
19,B008THTOKS,"Tech Armor Kindle Fire HD Screen Protector, Anti-Glare/Anti-Fingerprint Amazon Kindle Fire HD 7&quot; (2012) Film Screen Protector [3-Pack]",[],"B0098F5Y68,B00K0L1SZK,B0098F5XGY,B0098F5WJC,B071NTYJQ9,B00K0L1T2W,B01449PJJE,B007W66RCU,B017JQPNTU,B06XCDTV82,B013TMNKAW,B00LARFZGG,B015IK68I4,B015NLZ384,B06Y5NBSX7,B00K0L1T36,B013KPFGKK,B013EYDHLW,B072ML61NW,B072MKFNV6,B01N0HGPJR,B06Y5VFLPT,B01MCW7QVQ,B013TMNNDQ,B06XBYSK5X","B072ML61NW,B005QCDY50,B06Y5NBSX7,B00OFNTNBK,B007W66RCU,B06Y5VFLPT,B0098F5WJC,B00G151VKQ,B0096UGYNC,B00K0L1SZK,B072MKFNV6,B0144AAIWQ,B0097C57GO,B0098F5Y68,B01LZRVKDA,B077PN1PD9,B0098F5XGY,B06XN5K33V,B071JSN31Y,B07G812TT3,B01AJUNH32,B005X0JTP4,B074PJXHN9,B074TSNMN8,B072LW9SQW,B0144ARCNY,B06XBYSK5X,B00K0L1T36,B00K0L1T2W,B011LRZ15E,B00FFS6E0M,B00FZ9SJLS,B077PRDCTZ,B06XQ5729K,B00H9J5Q0Y,B07BNHJK3V,B00G150PHQ,B0711T46LT,B00FFS95VW,B015JHKN00,B00FFWJ2AC,B0725SDWHR,B0714M8ZJ2,B00NVHBX2I,B000LGB7R8,B013EYDHLW,B0741T75HD,B00QLEQAP8,B07214PM18,B0098QX4FK,B015IK68I4,B071KK8KWF,B017146CXQ,B07BJWVFY1",Tech Armor,Cell Phones & Accessories,Accessories,Screen Protectors,,0.8238
20,B008W7A4MM,HTC EVO Design 4G Replacement Battery 1600mAh x3 Compatible with HTC EVO Design 4G only,[],,,YESOO,Cell Phones & Accessories,Accessories,Batteries & Battery Packs,Replacement Batteries,0.8116749999999999
21,B0093TSSGW,Plantronics Black Marque 2 M165 Bluetooth Headset &ndash; BTM165BK,['Marque M165 Black'],,"B00DQ5RHK2,B010XDJNFG,B0093TSSH6,B010XDJTWS,B011GVFJFW,B010R496J4,B00JEI9M1W,B00W3TAMG8,B01G1P5BH4,B07DWNMNQM,B00NQAIGY8,B01HTTUJXM,B0727QFFCC,B00QWDGFN0,B00DQ5NU76,B00LSYHLR2,B00815AB00,B01G1P5BF6,B075RYTHFN,B01MYRJSM5,B014EUQ492,B07FTHQY6Z,B07D59W4VN,B07GV651Y6,B00V5AEW9O,B00F854DGY,B01JA9J6UQ,B0794SCYM8,B01N6X33SS,B01H2RBQUG,B00B37ERSU,B0194VYPQ0,B07G646Q39,B076D61138,B06W5S5444,B07FSDJ5PJ,B01G70QAKA,B078NQWJNL,B0092KJ9BU,B00JLVNF2O,B00OG7UI1E,B00JPSST1U,B01MRGOMOT,B07HBTYBMB,B07B8WSNS2,B0030C4K8I,B073WWLFLV,B01G49I2FA,B01F9AVPD6,B075S7JP6W,B00AFGI5RE,B00LSYYK1M,B06XJ6XWGC,B07FKBNCKZ,B07FMJ29WH",Plantronics,Cell Phones & Accessories,,,,0.789825
22,B0097FRSUE,OtterBox Defender Series Case for Motorola Droid RAZRM - Retail Packaging - Black (Discontinued by Manufacturer),"['The Defender Series DROID RAZR M case allows you to work and play anywhere with the confidence that your device is protected with a highly robust, three-layer case. A self-adhering screen protector is included and prevents scratches and smudges caused by keys, kids, cats and regular use. Memory foam pads cushion the DROID RAZR M inside the case while the rugged silicone outer layer protects against bumps and drops. Silicone plug covers protect the main']",,,OtterBox,Cell Phones & Accessories,"Cases, Holsters & Sleeves",Holsters,,0.756525
23,B0099YAY3G,"iPhone 5S Case, Caseology Apple iPhone 5/5S Case [Charcoal Black] Non-Slip Cover Shock Absorbent TPU Armor Bumper iPhone 5/5S Case (for Apple iPhone 5/5S Verizon, AT&amp;T Sprint, T-mobile, Unlocked)",['Fits iphone 5/5s.'],,,Caseology,Cell Phones & Accessories,"Cases, Holsters & Sleeves",Basic Cases,,0.67705
24,B009LU88M2,G'zOne Ravine 2 Fitted Case,"['Prtotect your Casio Ravine 2 with this high-quality fitted case. Features a lined interior and detachable ratcheting 360 belt clip. Clips to belt, waist band, backpack or purse strap. Protects your phones finish from dirt and scratches.']","B00KSQ88U0,B008PHGSCO,B00A4N9JLO,B006QNTIF8,B00VRTGC64,B00E9W873M,B078VYDHBN,B0072JV41Q,B00TPYG0U6,B00873NVUS,B008L3IX8Y,B00SAG1OJW,B01AMINHA4,B00GTTYN9A,B00IK00FX4,B01G7PGVZY,B00LZX3Z08","B00KSQ88U0,B008PHGSCO,B00VRTGC64,B006QNTIF8,B00E9W873M,B0072JV41Q,B008L3IX8Y,B01ETKSMSI,B006WW0KEG,B01CDJ7I5K,B07KM8CV7T,B00VRTGAC0,B008L3IDDO,B015LA4DCO,B0056MLY0W,B00WF988BW,B005FLWCF0,B0785VMC5R,B00SLUUXVM,B07BHH848H,B000PIHG9U,B00XD7RHBM,B00PIX2Q0G,B00D25UBFO,B005KSVG6Y,B010TLVPDK,B00D3Z2GI8,B00Q75Z12Y,B012E5U4LS,B076G85KYN,B00ASSZGS0,B00IK00FX4,B076BZX9CT,B0055T53GC,B00VRTGDKY,B01DRV2B2I,B00H9NCYZA,B01DRV2BBY,B01JB4NP6Q,B01ARQGDY8,B01AQ4RP6Q,B00GTTYN9A,B074NDHG6D,B00873NVUS,B07FNZ85WF,B00SAG1OJW,B00EN6D8H4,B00E89USG0,B01N3PIIZW,B00SAG2HNO,B0764NQ3Q8",Verizon,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.799175
25,B00A2VJY5E,Kensington Powerbolt 4.2 Dual Car Charge for iPhone 4S and iPad,"[""Simultaneously charge two iPhones, or two iPads, or one of each from your car's power outlet (and do it fast!) with the Kensington PowerBolt 4.2 Dual Fast Charge Car Charger. PowerBolt safely charges your iPhone, iPad, iPad mini or iPod Touch, delivering only the Amps your device needs and no more! For charging of iPhone 5, iPad 4 or iPad Mini, simply use your own Lightning Connector cable.""]",,,Kensington,Cell Phones & Accessories,Accessories,Chargers & Power Adapters,,0.77825
26,B00A712FE6,CDMA Screen DBPOWER Replacement Digitizer and Touch Screen LCD Assembly for Black Apple iPhone 4 (Fits CDMA Verizon/Sprint iPhone 4 only),"['', ""When your screen is old, broken, cracked, damaged, are you still going to Phone Repair Shops? That's not time and money saving! Let's see Phone Repair Shops VS DIY:<br /> 1. Cost. In phone repair shops, you may spend at least 100 dollars. But if you DIY, it will cost less.<br /> 2. Time: You need to drive to phone repair shops, you may spend 2 hours to drive, 2 hours to wait. But if you DIY, package arrive at your home. And 1 hour to install it.<br /> 3. Privacy: You need to be careful of your privacy when you take your phone to phone repair shops. But if you DIY, no worry, keep your secret.<br /> 4. What's more, installing screen is a skill. After you learn it, you can fix screens for your friends or neighbours. Why not!<br /> <br /> <b>LCD and Digitizer Assembly<br /> </b>It's the assembly of LCD and touch screen, you don't need to install your Iphone 4 CDMA for two times. Save your much time.<br /> <br /> <b>Free Installation Tools<br /> </b>-Comes with two pry open tools, you can pry your old broken Iphone without damage it.<br /> -With two plastic screwdrivers you can remove the screws on the old Iphone and install them to the new one.<br /> -Plastic triangular plate<br /> -You can use the sucker to remove the back cover of your old Iphone.<br /> -Use the adhesive tape to repair the screen.<br /> <br /> <b>DBPOWER Customer service<br /> </b>-Customer comes first. Please feel free to contact our professional technical support team for any question. <br /> -All products had been tested strictly before we ship it to your hand. <br /> <br /> <b>Compatible With<br /> </b>For iPhone 4 CDMA (A1349)<br /> <br /> <b>Tips<br /> </b>Any wrong installation will ruin the display, so please be carefully when replacing the screen. And there are many installation videos which you can find on You Tube.<br /> <br /> Package Includes<br /> LCD and Digitizer Assembly and Free tools for iPhone 4 CDMA""]",,,DBPOWER,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8238
27,B00A83I8G2,"Apple 12W USB Power Adapter (for iPhone, iPad)","['Featuring a compact design, this power adapter offers fast, efficient charging.']","B014LFT8H0,B07CPS16L4,B0149QE3KS,B079L6CQF8,B06WW4J4GK,B01MQWUXZS,B077FXBHLS,B01F9RGWF0,B07DC4J387,B07DC4PZC4,B0753R2TWC,B0097BEFWC,B075T6N5CJ,B013JMBAMC,B07DC4RZPY,B016PW4NX6,B07CMN7DCX,B00LO6MZUW,B0753Q47WK,B072XCZT59,B0148DSMY0,B01F9RH5M4,B0753Q47X3,B07HX5X9FN,B00MCFM0EU,B01C5JBH64,B07LFDNV27,B0753G7SJ5,B07DHLZ7Z2,B01GN2G8Y0,B00ONIBB9E,B07DC9SBLQ,B0753QNNR3,B0753PV4ZR,B00S5XSNRG,B01N75EALQ,B07MNKNVCR,B00X7XFJSK,B071YMZ4LD,B00U10GB20,B07DDPNBJZ,B07D6MYX2F,B00W4J6C02,B011B515R4,B07KXGKL55,B0753Q47W2,B00QGH9S0O,B01LXJFMGF,B07C6QJYRT,B07KF3GSMS,B07M912GQ5,B0753QCJ84,B00QTE09SY,B01KWY703I,B07MD7DPQM,B0753NG4FL,B00N1O1NQW,B07JVDR83B,B0753PV4ZX,B07DCGFWNQ,B0753PV4ZP,B07HT63951,B07DDN6RKK,B07DC93QBT,B07M8ZS9MZ,B013JT5I5A,B01KAVRX8A,B0753NG4FH,B0753R1G2M,B078YY83Z5,B07DC46MRX,B015V7XB5M,B0753QVKSH,B013JNG2ME,B06Y3Q19HB,B07MD89RPY,B01HXYNYUS,B01I0VD8JA,B0796SHY8L,B078W931BD,B07DTJ7TB1,B071KBYFKS,B01F9RGF0M,B009WHV3BM,B07MGQSJJ9,B07HJZQWQQ,B0721456BZ,B07G5T65JQ,B00NH12EHQ,B01M0GB8CC,B07KPXCP3K,B01576MRIO,B07H5HQ6LQ,B06X16Z7DZ,B07H9PSCLV",,Apple,Cell Phones & Accessories,Accessories,Chargers & Power Adapters,,0.65
28,B00AG1A6N4,Spigen Neo Hybrid EX Slim Vivid iPhone 5S Case for iPhone 5S/5 - Dante Red,[],,,Spigen,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.8163750000000001
29,B00AG1A8FK,Spigen Neo Hybrid EX Slim Vivid iPhone 5 Case for iPhone 5 - Hot Pink,[],,,Spigen,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.75
30,B00ATIV2QE,Mobile Phone Battery for IPHONE4 1420mA Li-Ion Standard Battery by usmall by USTOP,['Appe Iphone 4 Battery replacement 1420 MAH Li-ion'],,,USTOP,Cell Phones & Accessories,Accessories,Batteries & Battery Packs,Replacement Batteries,0.8116749999999999
