,reviewerID,asin,reviewText,rating,label,average_sentiment_rating,average_sentiment_label,unixReviewTime
263674,A2LSLKVVNQ92A,B00FS21W66,Absolutely love this case. It definitely feels durable and is surprisingly slim. I can't believe the budget price for this premium type case. The only thing that stopped me from giving it 5 stars is the fact that it's nearly impossible to use the silent toggle unless you have long nails.,1.0,positive,0.837575,positive,1431216000
266328,A3MFRAR121IHTN,B00FZLXXB2,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
269302,A3MFRAR121IHTN,B00G7K8R34,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
271272,A2LSLKVVNQ92A,B00GA23EJ6,Great build quality.  The yellow/green accent really pops.,1.0,positive,0.789825,positive,1417305600
271602,A3MFRAR121IHTN,B00GAXONJU,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
273152,A3MFRAR121IHTN,B00GEBJ2SU,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
275772,A3MFRAR121IHTN,B00GKDFG4G,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
276260,A3MFRAR121IHTN,B00GM3DTBG,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
280558,A2UX8I05VSEL6,B00GSC4MEY,A steal if they're still at the same price that I paid for them a couple of bucks is well worth it,1.0,positive,0.7503500000000001,positive,1402531200
286854,A3MFRAR121IHTN,B00H4W9U8U,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
286886,A2UX8I05VSEL6,B00H50IRSU,This is a leather case with the wireless receiver built in or pre installed ready for use it's really nice. You may not be able to use your regular case though because it is a little thicker than origanal battery cover,1.0,positive,0.799525,positive,1468195200
287541,A3MFRAR121IHTN,B00H71BXCY,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
289324,A3MFRAR121IHTN,B00HANGW9I,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
290726,A3MFRAR121IHTN,B00HFEBS8W,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
290809,A3MFRAR121IHTN,B00HFEBSRI,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
291666,A3MFRAR121IHTN,B00HH99EL8,"Great product, works like it should",1.0,positive,0.8116749999999999,positive,1414108800
293161,A2LSLKVVNQ92A,B00HJUJ6ZO,Took FOREVER to receive but works great!,0.8,positive,0.704375,positive,1433289600
294330,A3MFRAR121IHTN,B00HMIXQZ4,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
297030,A3MFRAR121IHTN,B00HSE6A7S,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
298540,A3MFRAR121IHTN,B00HUNKEOM,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
299198,A3MFRAR121IHTN,B00HVLNST6,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
300241,A3MFRAR121IHTN,B00HXB01OE,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
315583,A3MFRAR121IHTN,B00IM7DV9K,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
321905,A3MFRAR121IHTN,B00IROSUCQ,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
321957,A3MFRAR121IHTN,B00IRQPG44,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
324478,A3MFRAR121IHTN,B00IU71VDA,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
327607,A3MFRAR121IHTN,B00IZZSZYA,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
332739,A3MFRAR121IHTN,B00J8CFKTC,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
332966,A3MFRAR121IHTN,B00J8WIWVK,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
334444,A3MFRAR121IHTN,B00JAKWU7M,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
334743,A3MFRAR121IHTN,B00JAZIZYY,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
335816,A3MFRAR121IHTN,B00JE4UPQC,Fast shipping. Item as advertised. Thank you,1.0,positive,0.773225,positive,1425600000
336372,A3MFRAR121IHTN,B00JETJXHY,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
337894,A2LSLKVVNQ92A,B00JH83GE8,"Excellent protection while being relatively thin.  Kickstand seems a bit flimsy but overall, works just fine.",1.0,positive,0.787625,positive,1450828800
339034,A2LSLKVVNQ92A,B00JH882JW,Ho hum no frills case.  Not bad for the money.  Super skinny and lightweight.,0.8,positive,0.71255,positive,1419811200
340336,A2LSLKVVNQ92A,B00JH88FO4,Slim case with a solid build.,0.8,positive,0.659875,neutral,1417305600
341839,A3MFRAR121IHTN,B00JK9HXLQ,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
346686,A2UX8I05VSEL6,B00JQI2J2E,this is a very good case that will still fit precisely if you install Qi + NFC chip or buy a new battery cover with it pre-installed the problem I'm concerned about is that I bought more than one these one of I should have returned because it's bad ( purchased on E-Bay),1.0,positive,0.711875,positive,1426118400
350493,A2UX8I05VSEL6,B00JW7AUV6,THIS TWO PIECE CASE IS INDESTUCTABLE THERE IS EVEN OVERHANG ON FRONT AND A VERY GOOD LIP AROUND THE EDGES I GIVE THE CASE A B+,1.0,positive,0.8282,positive,1454025600
352446,A2LSLKVVNQ92A,B00JYKG79U,Gets the job done.  No frills.,0.6,neutral,0.55,neutral,1417305600
353345,A3MFRAR121IHTN,B00JZKVWU8,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
354007,A2LSLKVVNQ92A,B00K0NRZ5K,"Unbelievable phone for the price.  Not a speed demon by any means, but it gets the job done.",1.0,positive,0.756525,positive,1425254400
355249,A2UX8I05VSEL6,B00K2CYY44,I finally got one of these on it's so simple but if you keep having to let your pet outside during installation you might not get it on right  this is a good one easier than a glass shield with about the same protection,1.0,positive,0.839025,positive,1463529600
358993,A3MFRAR121IHTN,B00K8E6YOY,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
360265,A2UX8I05VSEL6,B00KB8RN2O,nice case except for that metal band bends on the sides,1.0,positive,0.77705,positive,1418860800
360384,A2LSLKVVNQ92A,B00KBBVKES,"Does the job as advertised.  One warning though.  Don't squeeze the handle too hard, especially when using on an iPhone 5s or 6.  You'll rip the touch sensor flex cable right out!",0.8,positive,0.6034,neutral,1417305600
363404,A2UX8I05VSEL6,B00KFSLKXI,Tech Armor produces some of the best PET screen protectors fast and outstanding customer support positve salesmanship and if you buy from Amazon.com you get a huge price reduction,1.0,positive,0.826025,positive,1431561600
364448,A3MFRAR121IHTN,B00KGOV2O8,Fast shipping. Item as advertised. Thank you,1.0,positive,0.773225,positive,1425600000
364875,A2UX8I05VSEL6,B00KGSW734,almost perfect actually it's an A or a 9 rating I can't find any compromises It is not a Zagg or a Gadget Guard or zNitro but it's as good as they are,1.0,positive,0.80935,positive,1416096000
365008,A2UX8I05VSEL6,B00KH3HJY0,perfect except the polycarbonite back has been rubberized and the rubber can slightly show abrasions,1.0,positive,0.786525,positive,1427241600
365017,A2UX8I05VSEL6,B00KH3JYBQ,you can use the holster for screen protection if you don't mind carrying it with you the actual case itself could be made better if they had not put a kickstand on it,1.0,positive,0.77825,positive,1427241600
366913,A3MFRAR121IHTN,B00KIUF4DA,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
368168,A3MFRAR121IHTN,B00KL58YKM,Fast shipping. Item as advertised. Thank you,1.0,positive,0.773225,positive,1425600000
368389,A2LSLKVVNQ92A,B00KLCFV88,Nice case for the price.  The sides of the case are a little loose.  I wish they hugged the sides of the phone tighter.,0.8,positive,0.7070000000000001,positive,1424995200
370694,A2UX8I05VSEL6,B00KOIGZES,OtterBox should give you more instructions on the best way to install this case,1.0,positive,0.8083750000000001,positive,1412812800
370772,A2UX8I05VSEL6,B00KOIH0OC,There is no substitute for this I have head that even works with the .20mm tempered glass if you want security this will do it just one problem the bulk of this case is quite large but there is no way for your device have anything happen bad,1.0,positive,0.699075,positive,1416096000
372707,A3MFRAR121IHTN,B00KR8KNDO,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
372936,A2UX8I05VSEL6,B00KRHZ6GY,I like the way this color stands out,1.0,positive,0.773225,positive,1418860800
372953,A2UX8I05VSEL6,B00KRHZHRC,It's worth what you pay for it but you get what you pay for i personally don't trust this Incipio to save the phone from drop,0.6,neutral,0.5288999999999999,neutral,1445817600
374366,A2UX8I05VSEL6,B00KTGRU4Y,Great shields from dust and scratches and at an unbelievable low price,1.0,positive,0.7854,positive,1412812800
375310,A3MFRAR121IHTN,B00KW09II8,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
378792,A2UX8I05VSEL6,B00L2PDY6O,I've got Skinomi in the on deck circle I already have a glass shield on my G3 but I can say from opening the package and examing it that it is quality,1.0,positive,0.72645,positive,1440374400
380703,A2UX8I05VSEL6,B00L8750FY,good if you don't have tempered glass if you have a basic screen protection this wiil work with the thickness of t. glass it won't cover the left side,1.0,positive,0.77825,positive,1461628800
382039,A2LSLKVVNQ92A,B00L9ICFG4,"For the money, not a bad looking case.",0.8,positive,0.675775,positive,1417305600
386521,A3MFRAR121IHTN,B00LG0QQSI,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
386575,A2UX8I05VSEL6,B00LG6RZRS,Zagg makes a superhard glass with good touch response it looks nice and feels great I don't use the handles that are on the top side you might want to but I get the glass down faster by just placing it into position which cuts down on stuff getting between that and the phones display,1.0,positive,0.7781750000000001,positive,1452038400
387017,A2LSLKVVNQ92A,B00LGWTM5U,Good product.  Good price.,0.8,positive,0.70545,positive,1439856000
387516,A3MFRAR121IHTN,B00LHFNTRS,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
388201,A3MFRAR121IHTN,B00LIJGXU8,"Great case, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
388288,A3MFRAR121IHTN,B00LIV6AB8,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
389952,A2LSLKVVNQ92A,B00LL6ZPXY,Same issue here as everyone else.  The metallic bezel eats your wifi and cellular signal for breakfast.,0.2,negative,0.35,neutral,1442016000
391171,A2UX8I05VSEL6,B00LMQ66KE,this Trident Cyclops is tied with the Otterbox Defender in my opinion as the best protection available I did remove the built in plastic screen that comes with it because I use glass screen,1.0,positive,0.7968999999999999,positive,1451174400
392250,A2LSLKVVNQ92A,B00LOZ5YL0,"I really wanted to like this case.  It simply is gorgeous.  However, much like the Spigen Neo Hybrid Metal Case, the aluminum bumper causes a drop in signal strength.  I'd say on average about 1 bar.  On top of that, the fact that my headset didn't fit into the cutout for the plug clinched the return for me.",0.6,neutral,0.6397999999999999,neutral,1420502400
392273,A2LSLKVVNQ92A,B00LOZ5XO8,"I really wanted to like this case.  It simply is gorgeous.  However, much like the Spigen Neo Hybrid Metal Case, the aluminum bumper causes a drop in signal strength.  I'd say on average about 1 bar.  On top of that, the fact that my headset didn't fit into the cutout for the plug clinched the return for me.",0.6,neutral,0.6397999999999999,neutral,1420502400
392287,A2LSLKVVNQ92A,B00LOZ5VJK,"I really wanted to like this case.  It simply is gorgeous.  However, much like the Spigen Neo Hybrid Metal Case, the aluminum bumper causes a drop in signal strength.  I'd say on average about 1 bar.  On top of that, the fact that my headset didn't fit into the cutout for the plug clinched the return for me.",0.6,neutral,0.6397999999999999,neutral,1420502400
393434,A3MFRAR121IHTN,B00LS8I18Q,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
393770,A3MFRAR121IHTN,B00LTNKW5K,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
396861,A2UX8I05VSEL6,B00LZWPY9O,I'm in the process right now of determining how good these batteries are so far so good the charger that comes with them may not give an accurate reading as to the percent charged,1.0,positive,0.8665499999999999,positive,1409011200
398949,A2LSLKVVNQ92A,B00M0RXH1A,Nice case if not a little boring.,0.8,positive,0.6918,positive,1417305600
399874,A3MFRAR121IHTN,B00M217UA8,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
402065,A2LSLKVVNQ92A,B00M54LGBQ,"One of my all time fave cases for the iPhone.  Slim, yet sturdy.  It rocks!!",1.0,positive,0.813925,positive,1461456000
403323,A2LSLKVVNQ92A,B00M5JKZY0,Great cable!  Very durable looking.  Has a premium look and feel.  Charges just as fast as an OEM cable.  A+++,1.0,positive,0.697325,positive,1421366400
403486,A3MFRAR121IHTN,B00M6BNKS0,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
407010,A2LSLKVVNQ92A,B00MA43FI8,Works exactly as advertised.  Would give it 5 stars but the charge time seemed to take a good bit longer than when normally charging via micro  usb.,0.8,positive,0.692025,positive,1463529600
407678,A2UX8I05VSEL6,B00MAPEMXE,I put one of on my G3 and it's .2mm unless i'm seeing things it is very clear touch is great they said .3mm but i will take the thinner over the thicker any day,1.0,positive,0.7771250000000001,positive,1434067200
409560,A3MFRAR121IHTN,B00MBQMV6W,"Great item, many thanks.",1.0,positive,0.8163,positive,1470700800
411615,A3MFRAR121IHTN,B00MG0J9CC,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
411657,A3MFRAR121IHTN,B00MG0NP18,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
415005,A2UX8I05VSEL6,B00MJ4QENW,Get the blue color if you can it looks really good on G3 this tech21 case says that it's protective with a very slim profile and they have convinced some of the reviewers that I trust,1.0,positive,0.8235,positive,1445817600
416366,A2LSLKVVNQ92A,B00MKRODHW,Great case for the price.  Very slim and offers medium protection against drops.,0.8,positive,0.72295,positive,1437004800
419170,A2LSLKVVNQ92A,B00MOO1CXO,"Very sturdy but at the same time, not too bulky or heavy.  Very nice!",1.0,positive,0.8408249999999999,positive,1460505600
419288,A2LSLKVVNQ92A,B00MOOF4D8,"Very sturdy but at the same time, not too bulky or heavy.  Very nice!",1.0,positive,0.8408249999999999,positive,1460505600
421531,A2LSLKVVNQ92A,B00MQ8KP7M,"I received this case damaged but am writing this review irrespective of that.

This case offers the ultimate protection for your iPhone 6.  I would say that it rivals an Otterbox without all the bulk.  Having said that, the case is somewhat bulky.  It definitely shows slimmer in the pictures.",0.8,positive,0.674575,positive,1437436800
421581,A2LSLKVVNQ92A,B00MQ8KTA0,Premium feel and look.  Slightly bulky.,0.8,positive,0.65,neutral,1451347200
425388,A3MFRAR121IHTN,B00MV4KF1W,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
426011,A3MFRAR121IHTN,B00MVGKL28,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
427968,A3MFRAR121IHTN,B00MWL3CEG,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
435735,A2UX8I05VSEL6,B00N28AQ88,this case i like better than the symmetry version i think the commuter has better color schemes,1.0,positive,0.82635,positive,1441843200
436182,A2UX8I05VSEL6,B00N29ECGE,this item heats up the phone to a very hot temperature Im not sure though what the rectangular plastic card is for that was in the package,0.6,neutral,0.5882499999999999,neutral,1423008000
443901,A2LSLKVVNQ92A,B00NBT5S7M,Awesome case.  Looks very tough.  Great price!,1.0,positive,0.848625,positive,1417305600
444748,A2LSLKVVNQ92A,B00NCKVATA,Great fitting case.  Feels terrific.  Just a bit pricey for what you get.,0.8,positive,0.7184,positive,1420848000
453197,A2LSLKVVNQ92A,B00NHYLNW0,One of my all time favorites iPhone cases.  Super slim and yet still sturdy!,1.0,positive,0.8302499999999999,positive,1482883200
457893,A2LSLKVVNQ92A,B00NMM4VPS,Love this case.  Looks a lot more expensive than it is.  Excellent drop protection!,1.0,positive,0.841375,positive,1429315200
459139,A2LSLKVVNQ92A,B00NNKLKG2,"Definitely a very sturdy case.  Super grippy too!  My only complaint is the ""P"" logo in the middle.  It looks out of place in the design of the case.",0.8,positive,0.7569250000000001,positive,1460505600
463636,A2LSLKVVNQ92A,B00NSBII84,Great fitting case.  Feels terrific.  Just a bit pricey for what you get.  I also don't like how the border of the phone is grey on the front.  It would look better if it were black.  The grey makes it look a little cheap.,0.8,positive,0.7338,positive,1420848000
470700,A3MFRAR121IHTN,B00O3IL108,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
474021,A3MFRAR121IHTN,B00OB52MJ2,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
474786,A2LSLKVVNQ92A,B00OBSPWD2,Great cable!  Very durable looking.  Has a premium look and feel.  Charges just as fast as an OEM cable.  A+++,1.0,positive,0.697325,positive,1421366400
475123,A3MFRAR121IHTN,B00OC1F42C,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
477120,A2LSLKVVNQ92A,B00OFX48EM,"Super durable, charges my iPhone at the same rate as an OEM cable.  Good stuff!",1.0,positive,0.77095,positive,1426204800
486438,A2UX8I05VSEL6,B00OUCNXZS,for the price these are some of the best They sell junk around here or else you pay full retail price,0.8,positive,0.68415,positive,1423008000
486683,A3MFRAR121IHTN,B00OUO3JSW,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
488432,A2UX8I05VSEL6,B00OY57EIS,easy to apply does not work with some cases you have to buy the 5.5 inch only,1.0,positive,0.77825,positive,1440115200
493010,A3MFRAR121IHTN,B00P674O6I,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
500103,A3MFRAR121IHTN,B00PIFWZAA,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
502689,A2LSLKVVNQ92A,B00PQBN2BM,Fairly easy to install.  Works great.,0.8,positive,0.7163,positive,1423440000
503197,A3MFRAR121IHTN,B00PSNUC70,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
504457,A2LSLKVVNQ92A,B00PWBVYYS,Excellent protection in a moderately slim case!,1.0,positive,0.804425,positive,1492646400
504485,A2LSLKVVNQ92A,B00PWBVYYS,"This is by far my favorite ""rugged"" case.  It provides excellent drop protection without all the bulk.",1.0,positive,0.797975,positive,1442016000
515904,A3MFRAR121IHTN,B00QTGVH2E,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
515919,A3MFRAR121IHTN,B00QTGVH2E,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
521286,A2LSLKVVNQ92A,B00R6XAK36,Works great!,1.0,positive,0.8076,positive,1461801600
524628,A3MFRAR121IHTN,B00RHH8J16,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
525150,A3MFRAR121IHTN,B00RIHOZLI,Fast shipping. Item as advertised. Thank you,1.0,positive,0.773225,positive,1425600000
526828,A2UX8I05VSEL6,B00RR5CNWY,second attempt is a picture perfect. I've got this ArmorSuit on A+ it is a little hard but once I figured out what I was doing it is simple it's on like glass,1.0,positive,0.7763,positive,1458172800
527188,A3MFRAR121IHTN,B00RV7TQ3C,"Great case, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
531355,A2LSLKVVNQ92A,B00SAU4ZSA,Absolutely love this case.  It definitely feels durable and is surprisingly slim.  I can't believe the budget price for this premium type case.  The only thing that stopped me from giving it 5 stars is the fact that it's nearly impossible to use the silent toggle unless you have long nails.,0.8,positive,0.7375750000000001,positive,1431216000
531571,A2UX8I05VSEL6,B00SC4SETA,very easy installation i used a Verus Iron Shield case without the metal ring as a template It looks nice it seems a little thin for 9H hardness it's clear touch responsive i don't know yet how it will hold up i give it a thumbs up,1.0,positive,0.8372999999999999,positive,1433376000
531902,A2LSLKVVNQ92A,B00SFGXLJI,"Excellent protection in a very sturdy, yet slim case.  Definitely feels like a more premium case than you would expect at this price.",1.0,positive,0.894425,positive,1431216000
533533,A3MFRAR121IHTN,B00SL9DA0O,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
533793,A3MFRAR121IHTN,B00SMFAN20,"Great screen, well made. Fast shipping.",1.0,positive,0.806475,positive,1438905600
